Sample_ID,H2S_Concentration_ppm,Exposure_Time_h,Target_Dose_ppm_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,Sensor_Chemistry,Visual_Stage,L_star,a_star,b_star,Delta_E_CIE76,Prototype_Severity_Class,Data_Status,Data_Origin,Underlying_Model,Literature_Anchor,Synthetic_Flag
CP-055,0.25,0.75,0.188,21.6,51.2,20,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.2,29.1,-16.5,6.87,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-056,0.33,0.40,0.132,28.1,77.2,75,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.4,28.8,-17.5,6.04,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-057,0.22,1.96,0.431,29.4,79.1,39,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),47.9,32.8,-8.3,16.99,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-058,0.24,0.90,0.216,34.3,52.2,22,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.6,28.7,-14.3,9.13,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-059,0.09,2.78,0.250,22.4,45.0,42,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.5,29.1,-14.8,8.80,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-060,0.27,0.65,0.176,24.1,36.1,3,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.6,28.8,-16.9,6.19,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-061,0.09,0.41,0.037,19.6,79.9,6,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),41.5,26.9,-20.8,1.80,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-062,0.08,4.96,0.397,23.2,67.0,48,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.3,31.5,-10.9,13.68,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-063,0.09,4.84,0.436,37.7,80.2,14,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),48.3,32.4,-8.4,16.93,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-064,0.05,7.70,0.385,34.4,72.3,73,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),47.0,31.4,-10.5,14.27,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-065,0.05,7.08,0.354,35.0,53.8,67,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.5,31.7,-11.6,13.29,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-066,0.11,2.42,0.266,18.7,74.5,24,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.8,29.3,-14.4,9.33,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-067,0.05,5.83,0.292,31.3,57.8,25,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.8,30.5,-13.1,10.86,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-068,0.12,3.38,0.406,29.8,71.6,12,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.7,32.0,-8.9,15.69,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-069,0.11,2.20,0.242,26.9,59.7,45,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.0,29.9,-13.8,10.13,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-070,0.14,2.59,0.363,36.3,41.3,28,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.8,31.0,-11.7,13.07,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-071,0.25,1.23,0.307,19.1,34.7,38,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.2,29.5,-13.6,10.24,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-072,0.30,1.13,0.339,29.3,54.0,24,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.7,31.3,-11.7,12.70,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-073,0.07,4.61,0.323,31.8,66.3,20,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.7,32.2,-11.0,13.66,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-074,0.21,0.72,0.151,32.6,71.5,29,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.2,28.9,-16.4,7.31,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-075,0.24,1.47,0.353,36.3,63.3,34,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.8,31.6,-10.1,14.58,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-076,0.12,2.44,0.293,32.3,46.6,30,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),45.4,30.4,-13.3,10.91,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-077,0.29,0.80,0.232,23.6,45.2,76,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),44.5,29.6,-15.2,8.67,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-078,0.05,0.56,0.028,24.9,38.2,39,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),40.5,26.2,-20.7,1.32,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-079,0.21,0.41,0.086,24.0,36.6,74,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),42.2,26.6,-20.0,2.69,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-080,0.18,0.96,0.173,22.2,57.9,57,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.2,28.5,-16.0,7.04,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-081,0.27,0.53,0.143,34.1,74.9,43,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.9,28.8,-15.7,7.69,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-082,0.16,1.70,0.272,38.8,73.2,1,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.3,30.2,-11.7,12.54,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-083,0.11,1.27,0.140,33.0,70.0,27,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),43.2,29.4,-16.8,6.77,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-084,0.12,0.36,0.043,33.1,72.0,21,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),41.6,26.7,-19.8,2.56,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-085,0.23,1.44,0.331,38.2,37.7,16,Ag/Cu Dual-Zone,Stage 2: Trace Baseline Exposure (Violet-Purple),46.3,30.6,-12.3,12.20,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Carpenter et al. 2017 / Wang et al. 2022 (Sub-ppm onset),TRUE (MODELED DATA)
CP-086,0.62,2.14,1.327,29.6,55.6,60,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.2,37.6,13.9,40.86,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-087,0.70,1.05,0.735,29.8,39.4,70,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),50.5,36.7,-1.9,24.87,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-088,0.27,4.80,1.296,21.5,75.5,21,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),56.5,38.9,15.4,42.68,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-089,1.59,0.70,1.113,27.5,36.0,44,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.3,40.1,8.8,36.58,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-090,0.32,1.42,0.454,35.9,53.7,14,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),47.3,32.5,-8.4,16.54,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-091,0.77,1.30,1.001,25.8,34.8,47,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.0,39.2,4.0,31.34,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-092,1.05,0.91,0.956,19.9,75.5,81,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.1,40.9,5.6,33.80,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-093,0.33,2.60,0.858,25.2,80.1,34,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.9,39.9,5.3,33.05,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-094,1.38,0.77,1.063,37.9,51.8,3,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),54.9,39.5,10.2,37.77,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-095,1.36,1.00,1.360,39.7,46.3,31,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.1,38.8,17.0,44.28,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-096,0.27,4.65,1.256,30.9,80.6,69,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.6,38.3,17.7,44.94,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-097,0.17,3.45,0.587,34.2,51.9,73,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.8,35.4,-4.9,21.21,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-098,1.22,1.14,1.391,37.7,79.0,15,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),58.0,37.1,20.0,46.83,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-099,0.40,2.78,1.112,41.9,37.8,32,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),55.5,40.1,9.6,37.71,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-100,1.21,0.83,1.004,18.8,50.5,58,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.3,39.3,5.6,33.20,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-101,1.14,0.62,0.707,40.8,73.2,13,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.2,38.6,3.1,30.42,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-102,1.12,0.59,0.661,19.6,70.3,28,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),50.4,36.1,-2.9,23.77,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-103,1.00,1.10,1.100,28.1,37.7,10,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.7,39.9,8.1,35.33,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-104,1.21,0.67,0.811,38.8,58.1,60,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),53.0,40.3,4.6,32.68,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-105,1.15,0.86,0.989,28.2,37.4,58,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),52.7,40.1,4.0,31.99,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-106,0.67,2.22,1.487,41.9,58.5,60,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),58.4,37.0,21.4,48.22,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-107,0.31,4.56,1.414,34.5,55.7,13,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),57.9,37.3,17.3,44.44,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-108,0.23,2.08,0.478,25.9,38.1,47,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),47.7,32.4,-8.3,16.75,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-109,0.52,1.10,0.572,30.2,39.7,63,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.7,33.1,-7.1,18.43,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-110,0.19,5.61,1.066,37.4,74.3,81,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),55.4,39.5,12.7,40.10,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
CP-111,0.45,1.29,0.581,22.3,67.1,41,Ag/Cu Dual-Zone,Stage 3: Intermediate Action Level (Reddish-Pink / 'New York Pink'),48.9,34.4,-5.8,20.09,MONITOR,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,Thongboon et al. 2023 ('New York pink' / Reddish-Pink intermediate),TRUE (MODELED DATA)
