sample_id,block,replicate,h2s_ppm,duration_h,exposure_profile,true_dose_ppmh,temp_C,rh_pct,sealed_pouch,strip_age_days,light_klux_h,uv_film,read_delay_h,interferent,agZone_L,agZone_a,agZone_b,agZone_R,agZone_G,agZone_B,agZone_dE,agZone_frac,cuZone_L,cuZone_a,cuZone_b,cuZone_R,cuZone_G,cuZone_B,cuZone_dE,cuZone_frac,ctrl_patch_frac,seal_dot,est_agZone_ppmh,est_cuZone_ppmh,est_dose_ppmh,ci95_low,ci95_high,est_error_pct,qa_flag,data_type
SIM-0089,A_core,2,10.0,8.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,28.47,1.32,4.43,72,66,60,65.56,0.9926,45.28,0.47,1.84,109,107,104,40.87,0.6983,-0.0082,WHITE (intact),,79.889,79.889,70.073,89.706,-0.1,OK,SIMULATED
SIM-0090,A_core,3,10.0,8.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,28.09,2.17,4.28,72,65,60,65.95,0.9987,45.63,0.16,2.66,110,108,104,40.83,0.6977,-0.0111,WHITE (intact),,79.755,79.755,69.956,89.553,-0.3,OK,SIMULATED
SIM-0091,A_core,1,20.0,0.5,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,41.6,1.7,3.69,104,97,92,52.44,0.794,75.48,-6.21,-10.07,163,190,204,7.82,0.1328,0.0061,WHITE (intact),10.492,9.5,10.251,9.137,11.365,2.5,OK,SIMULATED
SIM-0092,A_core,2,20.0,0.5,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,43.87,1.64,3.39,109,103,98,50.16,0.7595,75.59,-6.17,-11.04,162,191,206,7.3,0.1245,0.0045,WHITE (intact),9.47,8.867,9.345,8.334,10.356,-6.6,OK,SIMULATED
SIM-0093,A_core,3,20.0,0.5,constant,10.0,25.0,50.0,True,0,0.0,True,0,none,42.91,1.94,4.21,108,100,94,51.14,0.7743,75.0,-6.9,-10.81,159,189,204,7.77,0.1325,0.0088,WHITE (intact),9.865,9.476,9.781,8.727,10.834,-2.2,OK,SIMULATED
SIM-0094,A_core,1,20.0,1.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,32.0,2.32,3.57,81,74,70,62.04,0.9395,68.13,-5.12,-7.87,148,169,180,15.44,0.2638,-0.0063,WHITE (intact),18.7,20.413,19.57,17.329,21.811,-2.2,OK,SIMULATED
SIM-0095,A_core,2,20.0,1.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.49,3.07,3.78,81,72,68,62.59,0.9476,68.27,-5.13,-8.04,148,170,181,15.24,0.2603,0.0055,WHITE (intact),19.625,20.098,19.893,17.546,22.241,-0.5,OK,SIMULATED
SIM-0096,A_core,3,20.0,1.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,30.54,1.29,4.55,77,71,65,63.49,0.9614,68.13,-4.29,-7.18,151,169,179,15.89,0.2714,0.0008,WHITE (intact),,21.109,21.109,17.901,24.317,5.5,OK,SIMULATED
SIM-0097,A_core,1,20.0,2.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,28.33,1.21,3.26,71,66,62,65.68,0.9944,58.3,-2.39,-3.48,133,142,146,26.53,0.4534,-0.009,WHITE (intact),,40.266,40.266,35.142,45.39,0.7,OK,SIMULATED
SIM-0098,A_core,2,20.0,2.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,27.51,2.1,3.66,71,64,59,66.52,1.0074,59.41,-2.99,-4.57,133,145,151,24.99,0.4268,0.0053,WHITE (intact),,37.1,37.1,32.312,41.889,-7.2,OK,SIMULATED
SIM-0099,A_core,3,20.0,2.0,constant,40.0,25.0,50.0,True,0,0.0,True,0,none,27.66,2.31,3.51,71,64,60,66.38,1.0052,57.86,-3.1,-2.47,131,141,143,27.19,0.4646,0.0085,WHITE (intact),,41.645,41.645,36.373,46.916,4.1,OK,SIMULATED
SIM-0100,A_core,1,20.0,4.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,27.43,1.15,4.11,69,64,59,66.59,1.0083,47.7,0.76,2.57,116,113,109,39.08,0.6677,0.0106,WHITE (intact),,73.448,73.448,64.464,82.432,-8.2,OK,SIMULATED
SIM-0101,A_core,2,20.0,4.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,27.38,1.37,4.71,70,64,58,66.66,1.0093,45.61,0.52,2.81,111,107,103,40.99,0.7004,0.0168,WHITE (intact),,80.362,80.362,70.484,90.241,0.5,OK,SIMULATED
SIM-0102,A_core,3,20.0,4.0,constant,80.0,25.0,50.0,True,0,0.0,True,0,none,27.88,0.93,3.24,69,65,61,66.13,1.0012,46.3,0.53,2.9,113,109,105,40.41,0.6906,0.0001,WHITE (intact),,78.204,78.204,68.609,87.8,-2.2,OK,SIMULATED
SIM-0103,A_core,1,20.0,8.0,constant,160.0,25.0,50.0,True,0,0.0,True,0,none,27.34,2.17,3.17,70,63,60,66.7,1.0099,34.19,2.89,7.82,90,78,68,53.67,0.9172,-0.0052,WHITE (intact),,166.09,166.09,139.063,193.116,3.8,OK,SIMULATED
SIM-0104,A_core,2,20.0,8.0,constant,160.0,25.0,50.0,True,0,0.0,True,0,none,28.26,1.06,3.82,71,66,61,65.75,0.9956,36.26,2.28,7.78,94,84,73,51.69,0.8833,0.0188,WHITE (intact),,143.207,143.207,122.44,163.975,-10.5,OK,SIMULATED
SIM-0105,A_core,3,20.0,8.0,constant,160.0,25.0,50.0,True,0,0.0,True,0,none,27.36,2.07,3.45,70,63,59,66.67,1.0095,35.0,2.78,7.29,91,80,71,52.71,0.9008,-0.0068,WHITE (intact),,154.018,154.018,130.525,177.511,-3.7,OK,SIMULATED
SIM-0106,B_blank,1,0.0,0.5,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.66,-0.06,3.24,239,237,231,0.42,0.0051,81.69,-7.59,-14.84,171,209,230,0.98,0.0004,-0.0076,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0107,B_blank,2,0.0,0.5,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.26,-0.18,3.27,241,238,232,0.42,-0.004,81.83,-8.51,-13.61,171,209,228,0.67,0.0036,0.004,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0108,B_blank,3,0.0,0.5,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.67,0.49,2.84,243,239,234,0.85,-0.01,82.54,-7.95,-12.9,175,211,229,1.22,-0.0004,-0.0021,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0109,B_blank,1,0.0,1.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.91,-0.59,3.55,239,238,231,0.81,0.0013,81.92,-7.61,-13.79,173,209,229,0.45,0.004,0.0031,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0110,B_blank,2,0.0,1.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.95,-0.11,3.13,240,237,232,0.18,0.0008,82.85,-8.43,-14.73,172,212,233,1.2,-0.0194,0.0056,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0111,B_blank,3,0.0,1.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.06,-0.08,3.36,238,235,229,1.01,0.0142,82.39,-7.92,-14.04,173,211,231,0.4,-0.006,0.0062,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0112,B_blank,1,0.0,2.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.8,-0.01,3.02,240,237,231,0.2,0.003,82.08,-7.97,-14.31,172,210,230,0.33,-0.0034,0.0004,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0113,B_blank,2,0.0,2.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.87,-0.11,2.28,239,237,233,0.73,0.0017,82.23,-7.67,-14.42,173,210,231,0.58,-0.0053,0.0056,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0114,B_blank,3,0.0,2.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.52,-0.59,3.61,241,239,232,0.99,-0.008,81.47,-8.04,-13.82,170,208,228,0.56,0.0092,0.0095,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0115,B_blank,1,0.0,4.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,93.93,-0.47,3.59,240,238,231,0.76,0.001,81.91,-8.46,-13.78,171,210,229,0.52,0.0013,-0.0053,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0116,B_blank,2,0.0,4.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.71,0.03,3.55,243,239,233,0.9,-0.0105,82.48,-7.93,-14.41,173,211,232,0.64,-0.01,-0.0049,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0117,B_blank,3,0.0,4.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.09,-0.3,2.49,240,238,233,0.6,-0.0017,82.11,-8.63,-13.68,171,210,229,0.72,-0.0017,0.0127,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0118,B_blank,1,0.0,8.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.11,-0.21,2.82,240,238,233,0.29,-0.0018,82.23,-7.88,-13.54,173,210,229,0.53,0.0001,-0.0113,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0119,B_blank,2,0.0,8.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.39,-0.03,2.49,241,239,234,0.64,-0.006,82.35,-7.47,-13.17,175,210,229,1.04,0.0024,-0.0082,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0120,B_blank,3,0.0,8.0,constant,0.0,25.0,50.0,True,0,0.0,True,0,none,94.16,-0.45,3.4,240,238,232,0.63,-0.0026,82.67,-8.08,-14.23,173,211,232,0.72,-0.0121,0.0077,WHITE (intact),,,0.0,0.0,0.297,,BELOW_LOQ,SIMULATED
SIM-0121,C_temperature,1,1.0,4.0,constant,4.0,15.0,50.0,True,0,0.0,True,0,none,71.2,-0.13,2.49,176,174,170,22.81,0.345,80.09,-6.84,-12.32,171,203,221,2.8,0.0449,0.0182,WHITE (intact),4.106,4.659,4.125,3.594,4.657,3.1,OK,SIMULATED
SIM-0122,C_temperature,2,1.0,4.0,constant,4.0,15.0,50.0,True,0,0.0,True,0,none,71.17,0.77,3.56,179,174,168,22.85,0.346,79.35,-7.99,-12.97,166,202,220,2.84,0.0475,-0.0018,WHITE (intact),4.309,4.937,4.331,3.781,4.882,8.3,OK,SIMULATED
SIM-0123,C_temperature,3,1.0,4.0,constant,4.0,15.0,50.0,True,0,0.0,True,0,none,72.67,0.2,2.84,181,178,173,21.34,0.3229,79.77,-7.93,-12.96,167,203,221,2.46,0.0414,-0.002,WHITE (intact),3.957,4.288,3.968,3.45,4.486,-0.8,OK,SIMULATED
SIM-0124,C_temperature,1,5.0,4.0,constant,20.0,15.0,50.0,True,0,0.0,True,0,none,36.34,1.18,3.1,90,85,81,57.67,0.8732,73.06,-6.52,-9.42,156,184,196,10.16,0.1731,-0.0028,WHITE (intact),20.954,19.286,20.366,18.115,22.618,1.8,OK,SIMULATED
SIM-0125,C_temperature,2,5.0,4.0,constant,20.0,15.0,50.0,True,0,0.0,True,0,none,35.43,1.49,3.14,88,82,78,58.59,0.8871,71.78,-5.53,-10.04,155,180,194,11.23,0.1915,0.0012,WHITE (intact),22.123,21.573,21.92,19.505,24.334,9.6,OK,SIMULATED
SIM-0126,C_temperature,3,5.0,4.0,constant,20.0,15.0,50.0,True,0,0.0,True,0,none,37.06,1.62,3.66,92,86,81,56.97,0.8627,72.3,-5.26,-9.49,157,181,194,11.04,0.1885,-0.0128,WHITE (intact),20.147,21.188,20.47,18.276,22.664,2.3,OK,SIMULATED
SIM-0127,C_temperature,1,15.0,4.0,constant,60.0,15.0,50.0,True,0,0.0,True,0,none,27.82,1.74,3.55,71,65,60,66.21,1.0025,59.49,-2.12,-3.77,136,145,150,25.42,0.4342,0.0016,WHITE (intact),,57.781,57.781,50.355,65.208,-3.7,OK,SIMULATED
SIM-0128,C_temperature,2,15.0,4.0,constant,60.0,15.0,50.0,True,0,0.0,True,0,none,28.42,2.19,4.18,73,66,61,65.63,0.9938,59.51,-2.92,-3.84,134,145,150,25.2,0.4307,0.0075,WHITE (intact),,57.154,57.154,49.793,64.514,-4.7,OK,SIMULATED
SIM-0129,C_temperature,3,15.0,4.0,constant,60.0,15.0,50.0,True,0,0.0,True,0,none,28.06,2.29,3.5,72,65,61,65.99,0.9992,58.46,-2.83,-3.53,132,142,147,26.28,0.449,-0.0126,WHITE (intact),,60.478,60.478,52.766,68.19,0.8,OK,SIMULATED
SIM-0130,C_temperature,1,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,63.63,1.64,3.54,160,153,148,30.42,0.4605,79.17,-7.63,-12.57,167,201,219,3.19,0.0543,-0.0043,WHITE (intact),4.114,3.72,4.089,3.607,4.572,2.2,OK,SIMULATED
SIM-0131,C_temperature,2,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,63.68,1.49,2.62,159,153,150,30.36,0.4595,77.85,-7.36,-12.68,164,198,215,4.4,0.0745,0.0043,WHITE (intact),4.072,5.161,4.135,3.656,4.615,3.4,OK,SIMULATED
SIM-0132,C_temperature,3,1.0,4.0,constant,4.0,25.0,50.0,True,0,0.0,True,0,none,64.33,0.27,2.95,159,156,151,29.67,0.4491,78.3,-7.51,-13.02,164,199,217,3.86,0.0648,0.0032,WHITE (intact),3.953,4.469,3.983,3.515,4.451,-0.4,OK,SIMULATED
SIM-0133,C_temperature,1,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.34,1.91,4.32,80,73,67,62.71,0.9495,68.2,-4.67,-7.42,150,169,179,15.65,0.2674,-0.0123,WHITE (intact),19.91,20.741,20.388,17.98,22.795,1.9,OK,SIMULATED
SIM-0134,C_temperature,2,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,31.43,1.35,3.66,79,73,68,62.59,0.9477,68.94,-4.81,-7.13,152,171,181,15.09,0.2576,-0.0035,WHITE (intact),19.672,19.858,19.779,17.435,22.123,-1.1,OK,SIMULATED
SIM-0135,C_temperature,3,5.0,4.0,constant,20.0,25.0,50.0,True,0,0.0,True,0,none,32.29,2.03,3.9,82,75,70,61.75,0.9351,68.54,-5.21,-7.87,149,171,181,15.05,0.2572,-0.0046,WHITE (intact),18.232,19.822,19.009,16.848,21.171,-5.0,OK,SIMULATED
SIM-0136,C_temperature,1,15.0,4.0,constant,60.0,25.0,50.0,True,0,0.0,True,0,none,27.48,1.94,3.77,70,64,59,66.55,1.0077,50.3,-0.1,0.4,120,120,119,35.7,0.6101,-0.0028,WHITE (intact),,62.784,62.784,55.113,70.455,4.6,OK,SIMULATED
SIM-0137,C_temperature,2,15.0,4.0,constant,60.0,25.0,50.0,True,0,0.0,True,0,none,28.08,2.07,3.89,72,65,60,65.96,0.9989,52.41,-2.18,-1.04,120,126,127,32.82,0.5606,0.0001,WHITE (intact),,54.824,54.824,48.086,61.562,-8.6,OK,SIMULATED
SIM-0138,C_temperature,3,15.0,4.0,constant,60.0,25.0,50.0,True,0,0.0,True,0,none,27.64,2.61,3.91,72,64,59,66.42,1.0057,51.15,-0.47,0.6,121,122,121,34.95,0.5973,0.0073,WHITE (intact),,60.635,60.635,53.22,68.051,1.1,OK,SIMULATED
SIM-0139,C_temperature,1,1.0,4.0,constant,4.0,35.0,50.0,True,0,0.0,True,0,none,54.77,1.67,4.47,137,130,123,39.29,0.5948,76.78,-6.95,-12.48,162,194,212,5.54,0.0937,0.0058,WHITE (intact),4.04,4.426,4.08,3.63,4.529,2.0,OK,SIMULATED
SIM-0140,C_temperature,2,1.0,4.0,constant,4.0,35.0,50.0,True,0,0.0,True,0,none,55.91,1.37,3.58,139,133,128,38.12,0.5772,78.18,-6.97,-12.03,166,198,215,4.42,0.0755,0.0037,WHITE (intact),3.858,3.534,3.825,3.395,4.256,-4.4,OK,SIMULATED
SIM-0141,C_temperature,3,1.0,4.0,constant,4.0,35.0,50.0,True,0,0.0,True,0,none,55.59,1.44,3.9,139,132,126,38.44,0.5821,76.88,-7.2,-12.41,162,195,212,5.42,0.0918,-0.0096,WHITE (intact),3.928,4.332,3.968,3.529,4.406,-0.8,OK,SIMULATED
SIM-0142,C_temperature,1,5.0,4.0,constant,20.0,35.0,50.0,True,0,0.0,True,0,none,29.19,1.3,4.69,74,68,62,64.85,0.9819,65.32,-4.01,-6.47,145,161,170,18.73,0.3201,0.0081,WHITE (intact),,17.366,17.366,14.907,19.824,-13.2,OK,SIMULATED
SIM-0143,C_temperature,2,5.0,4.0,constant,20.0,35.0,50.0,True,0,0.0,True,0,none,29.5,1.86,4.13,75,68,63,64.54,0.9773,63.98,-3.63,-5.92,142,157,165,20.22,0.3456,-0.0026,WHITE (intact),,19.087,19.087,16.461,21.713,-4.6,OK,SIMULATED
SIM-0144,C_temperature,3,5.0,4.0,constant,20.0,35.0,50.0,True,0,0.0,True,0,none,28.04,2.45,3.72,72,65,61,66.01,0.9995,63.04,-4.85,-4.89,139,156,161,21.27,0.3628,-0.01,WHITE (intact),,20.285,20.285,17.54,23.03,1.4,OK,SIMULATED
SIM-0145,C_temperature,1,15.0,4.0,constant,60.0,35.0,50.0,True,0,0.0,True,0,none,28.05,2.07,4.08,72,65,60,65.99,0.9993,45.03,1.64,3.7,112,105,100,42.11,0.7194,0.0044,WHITE (intact),,57.206,57.206,50.141,64.27,-4.7,OK,SIMULATED
SIM-0146,C_temperature,2,15.0,4.0,constant,60.0,35.0,50.0,True,0,0.0,True,0,none,27.59,1.81,3.95,71,64,59,66.44,1.0061,44.78,0.97,3.31,110,105,100,42.02,0.718,0.0109,WHITE (intact),,56.98,56.98,49.946,64.014,-5.0,OK,SIMULATED
SIM-0147,C_temperature,3,15.0,4.0,constant,60.0,35.0,50.0,True,0,0.0,True,0,none,28.32,1.29,4.6,72,66,60,65.72,0.995,44.79,0.47,3.99,110,105,99,42.19,0.7209,0.0126,WHITE (intact),,57.452,57.452,50.354,64.55,-4.2,OK,SIMULATED
SIM-0148,C_temperature,1,1.0,4.0,constant,4.0,45.0,50.0,True,0,0.0,True,0,none,46.88,1.58,3.11,116,110,106,47.14,0.7138,75.37,-7.33,-10.34,160,191,204,7.6,0.1286,-0.0113,WHITE (intact),3.898,4.29,3.961,3.539,4.383,-1.0,OK,SIMULATED
SIM-0149,C_temperature,2,1.0,4.0,constant,4.0,45.0,50.0,True,0,0.0,True,0,none,46.0,1.43,3.92,114,108,102,48.03,0.7273,74.92,-6.65,-10.67,160,189,204,7.94,0.1356,-0.0002,WHITE (intact),4.048,4.538,4.131,3.693,4.569,3.3,OK,SIMULATED
SIM-0150,C_temperature,3,1.0,4.0,constant,4.0,45.0,50.0,True,0,0.0,True,0,none,48.52,1.62,5.0,122,114,107,45.55,0.6895,76.96,-7.25,-11.45,163,195,211,5.7,0.097,-0.0035,WHITE (intact),3.644,3.18,3.568,3.176,3.961,-10.8,OK,SIMULATED
SIM-0151,C_temperature,1,5.0,4.0,constant,20.0,45.0,50.0,True,0,0.0,True,0,none,28.99,1.94,4.72,74,67,61,65.06,0.9852,56.72,-2.71,-1.87,129,138,139,28.53,0.4874,-0.0013,WHITE (intact),,20.82,20.82,18.209,23.43,4.1,OK,SIMULATED
SIM-0152,C_temperature,2,5.0,4.0,constant,20.0,45.0,50.0,True,0,0.0,True,0,none,28.16,1.83,3.99,72,65,60,65.88,0.9976,56.87,-1.47,-2.22,132,137,140,28.51,0.487,0.0086,WHITE (intact),,20.796,20.796,18.188,23.404,4.0,OK,SIMULATED
SIM-0153,C_temperature,3,5.0,4.0,constant,20.0,45.0,50.0,True,0,0.0,True,0,none,28.15,3.27,5.13,75,64,59,65.97,0.9986,57.32,-1.56,-2.4,133,139,142,28.02,0.4787,0.0158,WHITE (intact),,20.295,20.295,17.741,22.848,1.5,OK,SIMULATED
SIM-0154,C_temperature,1,15.0,4.0,constant,60.0,45.0,50.0,True,0,0.0,True,0,none,28.1,1.64,3.45,71,65,61,65.92,0.9981,37.48,2.4,6.67,97,87,78,50.17,0.8574,-0.0183,WHITE (intact),,60.678,60.678,52.334,69.023,1.1,OK,SIMULATED
SIM-0155,C_temperature,2,15.0,4.0,constant,60.0,45.0,50.0,True,0,0.0,True,0,none,27.95,1.99,4.56,72,65,59,66.1,1.0009,37.8,1.5,6.07,96,88,79,49.47,0.8453,-0.0114,WHITE (intact),,58.131,58.131,50.285,65.977,-3.1,OK,SIMULATED
SIM-0156,C_temperature,3,15.0,4.0,constant,60.0,45.0,50.0,True,0,0.0,True,0,none,28.62,2.03,3.39,73,66,62,65.41,0.9904,37.9,1.59,6.21,96,88,79,49.45,0.845,0.008,WHITE (intact),,58.077,58.077,50.242,65.913,-3.2,OK,SIMULATED
SIM-0157,D_humidity,1,1.0,4.0,constant,4.0,25.0,20.0,True,0,0.0,True,0,none,72.67,0.56,3.43,182,178,172,21.34,0.3232,80.39,-7.96,-13.18,168,205,224,1.8,0.0303,-0.001,WHITE (intact),3.718,2.93,3.691,3.205,4.177,-7.7,OK,SIMULATED
SIM-0158,D_humidity,2,1.0,4.0,constant,4.0,25.0,20.0,True,0,0.0,True,0,none,72.25,0.68,2.69,181,177,172,21.76,0.3294,79.5,-7.21,-12.51,169,202,220,3.02,0.0512,-0.0109,WHITE (intact),3.806,5.009,3.845,3.351,4.34,-3.9,OK,SIMULATED
SIM-0159,D_humidity,3,1.0,4.0,constant,4.0,25.0,20.0,True,0,0.0,True,0,none,71.0,0.32,3.48,177,173,167,23.01,0.3484,79.48,-7.22,-13.56,167,202,222,2.67,0.0441,0.0072,WHITE (intact),4.01,4.293,4.02,3.507,4.533,0.5,OK,SIMULATED
SIM-0160,D_humidity,1,5.0,4.0,constant,20.0,25.0,20.0,True,0,0.0,True,0,none,35.16,1.2,3.68,87,82,77,58.86,0.8912,71.53,-5.49,-9.81,154,179,193,11.56,0.1972,-0.0022,WHITE (intact),21.125,20.921,21.049,18.73,23.367,5.2,OK,SIMULATED
SIM-0161,D_humidity,2,5.0,4.0,constant,20.0,25.0,20.0,True,0,0.0,True,0,none,36.22,2.26,3.91,92,84,79,57.83,0.8757,71.39,-5.83,-10.14,153,179,193,11.49,0.1957,-0.0017,WHITE (intact),19.858,20.742,20.152,17.977,22.327,0.8,OK,SIMULATED
SIM-0162,D_humidity,3,5.0,4.0,constant,20.0,25.0,20.0,True,0,0.0,True,0,none,35.95,2.1,4.03,91,83,78,58.1,0.8798,72.28,-6.84,-9.44,154,182,194,10.8,0.1836,0.0059,WHITE (intact),20.118,19.319,19.833,17.653,22.014,-0.8,OK,SIMULATED
SIM-0163,D_humidity,1,15.0,4.0,constant,60.0,25.0,20.0,True,0,0.0,True,0,none,27.7,2.39,3.87,72,64,60,66.35,1.0048,58.14,-3.75,-2.93,130,142,145,26.65,0.4549,-0.0041,WHITE (intact),,57.783,57.783,50.436,65.131,-3.7,OK,SIMULATED
SIM-0164,D_humidity,2,15.0,4.0,constant,60.0,25.0,20.0,True,0,0.0,True,0,none,27.3,1.9,3.94,70,63,59,66.73,1.0105,58.1,-1.99,-2.93,133,141,145,27.02,0.4616,-0.0051,WHITE (intact),,58.975,58.975,51.5,66.45,-1.7,OK,SIMULATED
SIM-0165,D_humidity,3,15.0,4.0,constant,60.0,25.0,20.0,True,0,0.0,True,0,none,27.47,1.92,3.96,70,64,59,66.56,1.008,58.33,-3.11,-3.28,131,142,146,26.45,0.4518,0.0026,WHITE (intact),,57.256,57.256,49.965,64.547,-4.6,OK,SIMULATED
SIM-0166,D_humidity,1,1.0,4.0,constant,4.0,25.0,40.0,True,0,0.0,True,0,none,65.93,1.07,3.68,165,159,154,28.1,0.4255,79.55,-7.3,-12.34,169,202,220,3.04,0.0513,0.0108,WHITE (intact),3.881,3.764,3.875,3.408,4.342,-3.1,OK,SIMULATED
SIM-0167,D_humidity,2,1.0,4.0,constant,4.0,25.0,40.0,True,0,0.0,True,0,none,66.15,0.82,3.59,165,160,154,27.87,0.422,80.01,-6.57,-12.45,172,203,221,2.9,0.0461,-0.0154,WHITE (intact),3.916,3.369,3.887,3.417,4.357,-2.8,OK,SIMULATED
SIM-0168,D_humidity,3,1.0,4.0,constant,4.0,25.0,40.0,True,0,0.0,True,0,none,66.48,0.5,4.39,166,161,154,27.56,0.417,78.7,-7.45,-12.48,166,200,217,3.67,0.0626,-0.0003,WHITE (intact),3.854,4.621,3.892,3.427,4.357,-2.7,OK,SIMULATED
SIM-0169,D_humidity,1,5.0,4.0,constant,20.0,25.0,40.0,True,0,0.0,True,0,none,32.48,1.15,4.36,81,76,70,61.55,0.932,69.7,-5.53,-8.78,150,174,186,13.59,0.2321,-0.0131,WHITE (intact),19.197,18.863,19.029,16.828,21.23,-4.9,OK,SIMULATED
SIM-0170,D_humidity,2,5.0,4.0,constant,20.0,25.0,40.0,True,0,0.0,True,0,none,31.31,2.29,4.15,80,72,67,62.75,0.9501,69.09,-4.85,-8.1,151,172,183,14.54,0.2485,0.0068,WHITE (intact),21.369,20.408,20.791,18.281,23.302,4.0,OK,SIMULATED
SIM-0171,D_humidity,3,5.0,4.0,constant,20.0,25.0,40.0,True,0,0.0,True,0,none,31.49,1.85,3.83,80,73,68,62.54,0.947,68.84,-5.47,-7.99,149,172,182,14.68,0.2508,0.0079,WHITE (intact),20.93,20.624,20.754,18.286,23.222,3.8,OK,SIMULATED
SIM-0172,D_humidity,1,15.0,4.0,constant,60.0,25.0,40.0,True,0,0.0,True,0,none,27.33,1.6,3.55,69,64,59,66.69,1.0099,53.94,-1.73,-2.4,124,130,133,31.0,0.5294,-0.0004,WHITE (intact),,53.839,53.839,47.177,60.501,-10.3,OK,SIMULATED
SIM-0173,D_humidity,2,15.0,4.0,constant,60.0,25.0,40.0,True,0,0.0,True,0,none,28.15,1.19,4.42,71,66,60,65.88,0.9975,51.52,-0.23,0.67,123,123,122,34.71,0.593,-0.004,WHITE (intact),,64.212,64.212,56.356,72.068,7.0,OK,SIMULATED
SIM-0174,D_humidity,3,15.0,4.0,constant,60.0,25.0,40.0,True,0,0.0,True,0,none,27.6,2.56,3.62,71,64,60,66.45,1.0062,51.71,-0.64,-0.01,122,124,123,34.17,0.5839,0.0156,WHITE (intact),,62.623,62.623,54.954,70.293,4.4,OK,SIMULATED
SIM-0175,D_humidity,1,1.0,4.0,constant,4.0,25.0,60.0,True,0,0.0,True,0,none,64.46,0.37,3.22,160,156,151,29.55,0.4473,78.3,-7.52,-12.6,165,199,217,3.98,0.0677,-0.0036,WHITE (intact),3.765,4.448,3.803,3.358,4.249,-4.9,OK,SIMULATED
SIM-0176,D_humidity,2,1.0,4.0,constant,4.0,25.0,60.0,True,0,0.0,True,0,none,64.31,0.78,3.52,160,155,150,29.7,0.4498,78.66,-7.41,-13.36,165,200,219,3.45,0.0572,-0.0012,WHITE (intact),3.793,3.743,3.79,3.342,4.238,-5.2,OK,SIMULATED
SIM-0177,D_humidity,3,1.0,4.0,constant,4.0,25.0,60.0,True,0,0.0,True,0,none,61.36,0.72,4.52,153,147,140,32.68,0.4947,79.1,-6.92,-13.64,167,201,221,3.11,0.0503,0.008,WHITE (intact),4.283,3.277,4.209,3.714,4.703,5.2,OK,SIMULATED
